acronym,name,major,college,prerequisite_text,enrollment_cnt,A_cnt,A_percentage,cardinality
PHYS 20CL,Experimental Physics,Physics - PHYS,letters_and_science,Physics 4 or 24 and 20BL; Physics 5 or 25 (may be taken concurrently).,164,91,0.5548780487804879,20
RUSS 3,Elementary Russian,Russian - RUSS,letters_and_science,Russian 2 or equivalent.,83,67,0.8072289156626506,3
HIST W 121A,"Renaissance Italy, 1300-1550",History - HIST,letters_and_science,Upper-division standing.,176,74,0.42045454545454547,121
PSY 149,Close Relationships,Psychology - PSY,letters_and_science,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",2504,1227,0.49001597444089456,149
GREEK 1,Elementary Greek,Greek - GREEK,letters_and_science,"",177,91,0.5141242937853108,1
MUS 101A,Contemporary Techniques,Music - MUS,letters_and_science,Music 5C or equivalent.,76,46,0.6052631578947368,101
RG ST 27,"Varieties of Mystical Experience in the Abrahamic Religions: Judaism, Christianity, and Islam",Religious Studies - RG ST,letters_and_science,None,117,57,0.48717948717948717,27
BL ST 152,Music of the African Diaspora,Black Studies - BL ST,letters_and_science,Upper-division standing.,302,218,0.7218543046357616,152
ENGL 147AB,Audiobooks and Podcasts,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,65,43,0.6615384615384615,147
HIST 166B,United States in the Twentieth Century,History - HIST,letters_and_science,"",1263,507,0.4014251781472684,166
PHIL 146,Philosophy in Literature,Philosophy - PHIL,letters_and_science,One course completed in Philosophy.,68,38,0.5588235294117647,146
EACS 179,Visual Culture of Buddhism,East Asian Cultural Studies - EACS,letters_and_science,Upper-division standing.,96,33,0.34375,179
ANTH 2,Introductory Cultural Anthropology,Anthropology - ANTH,letters_and_science,"",20477,8024,0.3918542755286419,2
ANTH 5,Introductory Biological Anthropology,Anthropology - ANTH,letters_and_science,"",10810,2604,0.24088806660499537,5
ANTH 7,Introductory Biosocial Anthropology,Anthropology - ANTH,letters_and_science,"",2158,792,0.3670064874884152,7
ANTH 99,Independent Studies,Anthropology - ANTH,letters_and_science,Consent of instructor.,51,48,0.9411764705882353,99
ANTH 107,Psychological Anthropology,Anthropology - ANTH,letters_and_science,"",374,129,0.3449197860962567,107
ANTH 108,Educating the Native,Anthropology - ANTH,letters_and_science,"",216,175,0.8101851851851852,108
ANTH 112Z,Theoretical Approaches in Contemporary Archaeology,Anthropology - ANTH,letters_and_science,Anthropology 3 or 3SS or 100.,147,87,0.5918367346938775,112
ANTH 123,Feeding Ecology of Primates and Humans,Anthropology - ANTH,letters_and_science,ANTH 5 and ANTH 153T,107,37,0.34579439252336447,123
ANTH 125,Anthropology of Gender,Anthropology - ANTH,letters_and_science,Not open to freshmen.,709,351,0.49506346967559944,125
ANTH 131CA,California Indigenous Peoples,Anthropology - ANTH,letters_and_science,Upper-division standing.,929,280,0.3013993541442411,131
ANTH 150,Human Genetics,Anthropology - ANTH,letters_and_science,"ANTH 5 or ANTH 7, ANTH 9 or equivalent.",87,50,0.5747126436781609,150
ANTH 162,Prehistoric Food Production,Anthropology - ANTH,letters_and_science,Anthropology 3 or 3SS.,432,190,0.4398148148148148,162
ANTH 170,Behavioral Ecology of the Family,Anthropology - ANTH,letters_and_science,Anthropology 5,381,96,0.25196850393700787,170
ANTH 178,Internship in Archaeological Record-Keeping and Collections,Anthropology - ANTH,letters_and_science,Consent of instructor.,221,216,0.9773755656108597,178
ANTH 180B,Osteology,Anthropology - ANTH,letters_and_science,Anthropology 180A; consent of instructor.,172,128,0.7441860465116279,180
ANTH 182,Quantitative Data Analysis in Archaeology,Anthropology - ANTH,letters_and_science,Anthropology 3 or 3SS or 100.,125,54,0.432,182
ANTH 182M,Introduction to Lithic Analysis,Anthropology - ANTH,letters_and_science,Anthropology 3 or 3SS or 100.,435,220,0.5057471264367817,182
ANTH 183,Internship in Archaeological Resource Management,Anthropology - ANTH,letters_and_science,Consent of instructor.,8,8,1,183
ANTH 194,Field Training Archaeology,Anthropology - ANTH,letters_and_science,"Anthropology 3 or 3SS; and, Anthropology 100.",6,6,1,194
ANTH 194P,Practicum in Field and Laboratory Analysis,Anthropology - ANTH,letters_and_science,Anthropology 100; consent of instructor.,589,572,0.9711375212224108,194
ANTH 195B,Anthropology Honors Program:INDIVIDUAL STUDY PART I,Anthropology - ANTH,letters_and_science,Admission to Anthropology Honors Program; consent of instructor; ANTH 195A,8,5,0.625,195
ANTH 195C,Anthropology Honors Program:INDIVIDUAL STUDY PART II,Anthropology - ANTH,letters_and_science,"",8,5,0.625,195
ANTH 197EW,Special Courses,Anthropology - ANTH,letters_and_science,Upper-division standing.,9,7,0.7777777777777778,197
ANTH 197MS,Special Courses,Anthropology - ANTH,letters_and_science,Upper-division standing.,64,19,0.296875,197
ANTH 197TP,Special Courses,Anthropology - ANTH,letters_and_science,Upper-division standing.,27,18,0.6666666666666666,197
ANTH 198,Independent Readings in Anthropology,Anthropology - ANTH,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Anthropology.,3,3,1,198
ANTH 199,Independent Studies in Anthropology,Anthropology - ANTH,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Anthropology.,124,123,0.9919354838709677,199
ANTH 199RA,Undergraduate Research Assistance Training in Anthropology,Anthropology - ANTH,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Anthropology.,203,195,0.9605911330049262,199
ART 7C,Introduction to Contemporary Practice II:Spatial Studies,Art - ART,letters_and_science,"",650,474,0.7292307692307692,7
ART 7D,"Introduction to Contemporary Practice III:Art, Science and Technologies",Art - ART,letters_and_science,"",792,541,0.6830808080808081,7
ART 10,Introduction to Painting,Art - ART,letters_and_science,"",808,576,0.7128712871287128,10
ART 18,Lower-Division Drawing,Art - ART,letters_and_science,"",756,398,0.5264550264550265,18
ART 19,Lower-Division Photography,Art - ART,letters_and_science,"",851,567,0.6662749706227967,19
ART 22,Introduction to Computer Programming in the Arts,Art - ART,letters_and_science,"",613,419,0.6835236541598695,22
ART 100,Intermediate Contemporary Painting Issues,Art - ART,letters_and_science,Art 10; Art 1A or 7B or Upper Division standing or Instructor Approval,756,594,0.7857142857142857,100
ART 101,Advanced Contemporary Painting Issues,Art - ART,letters_and_science,"Art 10,100; 1A or 7B or Upper Division standing or Instructor Approval",250,198,0.792,101
ART CS 101,Drawing and Painting,Art (Creative Studies) - ART CS,creative_studies,Consent of instructor.,803,803,1,101
ART CS 105,Book Arts,Art - ART,creative_studies,Consent of instructor.,285,285,1,105
ART 105PP,Intermediate Spatial Practices - Public Practice,Art - ART,letters_and_science,Art 12; 1A or 7C or Upper Division or Instructor Approval,152,129,0.8486842105263158,105
ART CS 107,"History, Theory, and Criticism",Art (Creative Studies) - ART CS,creative_studies,Consent of instructor.,84,84,1,107
ART 111PP,Public Practice Arts: Digital Intermedia,Art - ART,letters_and_science,"Art 7B, Upper Division; Instructor Approval",26,22,0.8461538461538461,111
ART CS 112,Special Topics,Art (Creative Studies) - ART CS,creative_studies,Consent of instructor.,713,713,1,112
ART 117,Intermediate Drawing,Art - ART,letters_and_science,Art 18; 1A or 7B or Upper Division or Instructor Approval,804,555,0.6902985074626866,117
ART CS 120,Sculpture,Art (Creative Studies) - ART CS,creative_studies,Consent of instructor.,213,213,1,120
ART 124,ARTISTS' FUTURES: PROFESSIONAL PRACTICES II,Art - ART,letters_and_science,Must be in upper division standing.,21,16,0.7619047619047619,124
ART 130,Visual Arts as Culture,Art - ART,letters_and_science,Upper-division standing.,671,417,0.6214605067064084,130
ART 132,Digital Video,Art - ART,letters_and_science,Art 32; 1A or 7A or Upper Division,109,91,0.8348623853211009,132
ART 133M,Memory:An Interdisciplinary Exploration,Art - ART,letters_and_science,Upper Division or add code.,82,82,1,133
ART 189B,Capstone Design Lab,Art - ART,letters_and_science,7D and Instructor Approval,10,8,0.8,189
ART 192ES,Exhibition Studies Internship,Art - ART,letters_and_science,Upper-division standing; consent of department.,53,52,0.9811320754716981,192
ART 192IA,Internship in Art,Art - ART,letters_and_science,Upper-division standing; consent of department.,10,10,1,192
ART 196,Honors Seminar,Art - ART,letters_and_science,L&S and CCS Art majors only; upper-division standing; acceptance into department honors program.,204,168,0.8235294117647058,196
ART 199,Independent Studies,Art - ART,letters_and_science,Upper-division standing; completion of two upper-division courses in Art; consent of instructor and department required.,80,77,0.9625,199
ART 199RA,Independent Research Assistance in Art,Art - ART,letters_and_science,Upper-division students only; consent of instructor and department.,88,85,0.9659090909090909,199
ARTHI 5B,Introduction to Museum Studies,Art History - ARTHI,letters_and_science,"",953,545,0.5718782791185729,5
ARTHI 6E,"Survey:Arts of Africa, Oceania, and Native North America",Art History - ARTHI,letters_and_science,"",1064,444,0.41729323308270677,6
ARTHI 6G,Survey: History of Photography,Art History - ARTHI,letters_and_science,"",1014,479,0.4723865877712032,6
ARTHI 6H,Survey: Arts of the Ancient Americas,Art History - ARTHI,letters_and_science,"",1394,717,0.5143472022955524,6
ARTHI 6J,Survey:Contemporary Architecture,Art History - ARTHI,letters_and_science,"",783,429,0.5478927203065134,6
ARTHI 100,Methods for the History of Art and Architecture,Art History - ARTHI,letters_and_science,Designed for majors. Not open to Freshmen.,24,19,0.7916666666666666,100
ARTHI 103D,Introduction to Classical Archaeology,Art History - ARTHI,letters_and_science,Upper-division standing.,91,47,0.5164835164835165,103
ARTHI 105O,The Global Middle Ages: Visual and Cultural Encounters in the Medieval Mediterranean,Art History - ARTHI,letters_and_science,"",231,101,0.43722943722943725,105
ARTHI 107A,Painting in the 15th-Century Netherlands,Art History - ARTHI,letters_and_science,Not open to freshman.,477,280,0.5870020964360587,107
ARTHI 107C,Renaissance Kunst- and Wunderkammern: the First Museums,Art History - ARTHI,letters_and_science,Not open to freshman.,298,169,0.5671140939597316,107
ARTHI 109B,De-centering Renaissance Art: 1500-1600,Art History - ARTHI,letters_and_science,Not open to freshman.,304,163,0.5361842105263158,109
ARTHI 111C,Dutch Art in the Age of Vermeer,Art History - ARTHI,letters_and_science,At least one Art History course; not open to freshman.,291,144,0.4948453608247423,111
ARTHI 134K,Chinese Calligraphy: History and Aesthetics,Art History - ARTHI,letters_and_science,Not open to freshmen.,21,15,0.7142857142857143,134
ARTHI 136K,Modern Architecture in Early Twentieth-Century Europe,Art History - ARTHI,letters_and_science,Not open to Freshmen,199,104,0.5226130653266332,136
ARTHI 137GA,Architecture and Theory in Germany and Austria (1770-1870),Art History - ARTHI,letters_and_science,Not open to freshmen.,94,32,0.3404255319148936,137
ARTHI 141G,The Architecture of Museums and Galleries from c. 1800 to the Present,Art History - ARTHI,letters_and_science,"",307,170,0.5537459283387622,141
ARTHI 142D,"Gardens, Land, and Landscape in the West: Renaissance to 1900",Art History - ARTHI,letters_and_science,not open to freshmen,125,29,0.232,142
ARTHI 163,Digital Visual Studies,Art History - ARTHI,letters_and_science,Upper division standing.,19,17,0.8947368421052632,163
ARTHI 186G,Seminar in Seventeenth Century Northern European Art,Art History - ARTHI,letters_and_science,Upper-division standing.,32,31,0.96875,186
ARTHI 187Z,Museum Studies Seminar,Art History - ARTHI,letters_and_science,Upper-division standing; art history majors only.,78,54,0.6923076923076923,187
ARTHI 192A,University Art Museum Internship,Art History - ARTHI,letters_and_science,"",25,24,0.96,192
ARTHI 199,Independent Studies,Art History - ARTHI,letters_and_science,Upper-division standing; two upper-division courses in art history; consent of instructor and department.,29,27,0.9310344827586207,199
ARTHI 199RA,Undergraduate Research Assistant,Art History - ARTHI,letters_and_science,Upper-division standing; two upper-division courses in art history; consent of instructor and department.,6,6,1,199
AS AM 1,"Introduction to Asian American History, 1850-Present",Asian American Studies - AS AM,letters_and_science,"",4924,2257,0.4583671811535337,1
AS AM 5,Introduction to Asian American Literature,Asian American Studies - AS AM,letters_and_science,"",7187,2802,0.38987059969389176,5
AS AM 9,"Race and Resistance:Asian American, Black, Chicana/o and Indigenous Freedom Struggles",Asian American Studies - AS AM,letters_and_science,None,900,289,0.3211111111111111,9
AS AM 100AA,Chinese Americans,Asian American Studies - AS AM,letters_and_science,"",467,214,0.4582441113490364,100
AS AM 100BB,Japanese Americans,Asian American Studies - AS AM,letters_and_science,"",317,148,0.4668769716088328,100
AS AM 100CC,Filipino Americans,Asian American Studies - AS AM,letters_and_science,"",703,222,0.3157894736842105,100
AS AM 100DD,Korean Americans,Asian American Studies - AS AM,letters_and_science,"",217,52,0.23963133640552994,100
AS AM 122,Asian American Fiction,Asian American Studies - AS AM,letters_and_science,Sophomore standing or higher.,404,150,0.3712871287128713,122
AS AM 127,"Asian American Film, Television, and Digital Media",Asian American Studies - AS AM,letters_and_science,Sophomore standing or higher.,176,129,0.7329545454545454,127
AS AM 130,Colonialism and Migration,Asian American Studies - AS AM,letters_and_science,Sophomore standing or higher.,211,69,0.32701421800947866,130
AS AM 137,Multiethnic Asian Americans,Asian American Studies - AS AM,letters_and_science,Sophomore standing or higher.,774,249,0.32170542635658916,137
